svn;email;issues
acmurthy;$@ndeep-Kurdagi;$@ndeep-Kurdagi	20130209	hadoop-common-project	1
acmurthy;$@ndeep-Kurdagi;$@ndeep-Kurdagi	20130209	hadoop-hdfs-project	1
acmurthy;Aaron-Gottlieb-(JIRA);Aaron-Gottlieb-(JIRA)	20131021	hadoop-yarn-project	1
acmurthy;Aaron-Klish-(JIRA);Aaron-Klish-(JIRA)	20130312	pig	1
acmurthy;Aaron-Loyd;Aaron-Loyd	20130716	hadoop-common-project	1
acmurthy;Aaron-Mitchell-(JIRA);Aaron-Mitchell-(JIRA)	20130515	pig	2
acmurthy;Aaron-Mitchell-(JIRA);Aaron-Mitchell-(JIRA)	20130924	hive	2
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130124	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130129	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130129	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130129	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130129	hadoop-yarn-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130130	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130130	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130130	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130130	hadoop-yarn-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130209	hadoop-common-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130209	hadoop-hdfs-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130209	hadoop-mapreduce-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130209	hadoop-yarn-project	1
acmurthy;Aaron-T.-Myers;Aaron-T.-Myers	20130221	hadoop-hdfs-project	1
