"","project","date","jira_count","svn_count","email_count","jira_type","jira_priority","votes","watches","cluster"
"1","hadoop-common-project",1,6,0,0,6,21,0,25,2
"2","hadoop-common-project",2,1,0,3,0,4,0,5,2
"3","hadoop-common-project",3,0,0,2,0,0,0,0,2
"4","hadoop-common-project",5,0,0,2,0,0,0,0,2
"5","hadoop-common-project",7,0,13,0,0,0,0,0,2
"6","hadoop-common-project",10,1,0,7,2,4,0,1,2
"7","hadoop-common-project",11,1,0,0,1,4,0,2,2
"8","hadoop-common-project",12,3,0,2,4,10,0,5,2
"9","hadoop-common-project",13,1,0,2,3,1,0,2,2
"10","hadoop-common-project",14,2,0,0,2,4,0,4,2
"11","hadoop-common-project",15,1,0,2,1,4,0,6,2
"12","hadoop-common-project",16,1,15,0,1,4,0,2,2
"13","hadoop-common-project",17,1,0,0,0,4,0,3,2
"14","hadoop-common-project",18,1,0,0,1,3,0,4,2
"15","hadoop-common-project",19,0,0,2,0,0,0,0,2
"16","hadoop-common-project",20,3,29,0,4,8,0,5,2
"17","hadoop-common-project",21,1,0,0,1,4,0,2,2
"18","hadoop-common-project",22,1,0,0,1,1,0,3,2
"19","hadoop-common-project",23,8,0,2,12,31,0,25,2
"20","hadoop-common-project",24,6,3,0,4,18,0,34,2
"21","hadoop-common-project",25,3,0,0,2,12,0,9,2
"22","hadoop-common-project",26,1,0,0,1,4,0,4,2
"23","hadoop-common-project",27,3,0,0,3,12,2,13,2
"24","hadoop-common-project",28,12,0,0,11,38,0,45,2
"25","hadoop-common-project",29,10,0,0,12,29,0,58,2
"26","hadoop-common-project",30,5,0,0,6,14,0,12,2
"27","hadoop-common-project",31,12,0,0,16,35,0,54,2
"28","hadoop-hdfs-project",1,6,5,0,4,19,0,52,2
"29","hadoop-hdfs-project",2,0,0,2,0,0,0,0,2
"30","hadoop-hdfs-project",3,8,0,2,5,27,0,15,2
"31","hadoop-hdfs-project",8,0,0,2,0,0,0,0,2
"32","hadoop-hdfs-project",11,0,0,4,0,0,0,0,2
"33","hadoop-hdfs-project",12,0,0,3,0,0,0,0,2
"34","hadoop-hdfs-project",14,2,0,0,2,9,0,6,2
"35","hadoop-hdfs-project",15,2,0,0,1,8,0,3,2
"36","hadoop-hdfs-project",16,5,0,0,6,14,0,17,2
"37","hadoop-hdfs-project",17,1,0,0,2,3,0,2,2
"38","hadoop-hdfs-project",18,3,0,0,1,12,0,7,2
"39","hadoop-hdfs-project",21,5,0,8,5,19,0,10,2
"40","hadoop-hdfs-project",23,6,0,0,5,21,0,10,2
"41","hadoop-hdfs-project",24,2,0,2,4,8,0,3,2
"42","hadoop-hdfs-project",25,1,0,2,1,4,0,4,2
"43","hadoop-hdfs-project",26,3,0,0,5,7,0,7,2
"44","hadoop-hdfs-project",27,7,0,8,4,29,0,21,2
"45","hadoop-hdfs-project",28,11,0,4,14,34,1,52,2
"46","hadoop-hdfs-project",29,4,0,0,3,10,0,16,2
"47","hadoop-hdfs-project",30,11,0,0,9,41,0,43,2
"48","hadoop-hdfs-project",31,11,0,0,13,38,0,63,2
"49","hadoop-mapreduce-project",1,3,0,0,4,11,0,18,2
"50","hadoop-mapreduce-project",2,3,0,0,7,12,0,13,2
"51","hadoop-mapreduce-project",3,4,0,0,5,16,0,20,2
"52","hadoop-mapreduce-project",4,2,0,0,2,8,0,5,2
"53","hadoop-mapreduce-project",5,3,9,0,3,11,0,12,2
"54","hadoop-mapreduce-project",6,1,0,0,2,3,0,2,2
"55","hadoop-mapreduce-project",7,2,0,0,3,8,0,5,2
"56","hadoop-mapreduce-project",8,2,0,0,2,7,0,7,2
"57","hadoop-mapreduce-project",9,3,0,2,5,9,0,7,2
"58","hadoop-mapreduce-project",10,4,0,0,4,14,0,13,2
"59","hadoop-mapreduce-project",11,1,0,2,2,4,0,3,2
"60","hadoop-mapreduce-project",12,0,13,0,0,0,0,0,2
"61","hadoop-mapreduce-project",13,4,0,0,6,16,0,15,2
"62","hadoop-mapreduce-project",14,4,0,0,3,16,0,10,2
"63","hadoop-mapreduce-project",15,2,0,0,2,5,0,6,2
"64","hadoop-mapreduce-project",17,2,7,0,3,8,0,12,2
"65","hadoop-mapreduce-project",18,2,3,0,2,8,0,13,2
"66","hadoop-mapreduce-project",19,2,0,0,2,8,0,6,2
"67","hadoop-mapreduce-project",20,1,0,0,5,4,0,2,2
"68","hadoop-mapreduce-project",21,4,8,0,4,16,0,10,2
"69","hadoop-mapreduce-project",22,4,0,0,4,16,0,11,2
"70","hadoop-mapreduce-project",23,4,0,0,7,13,0,9,2
"71","hadoop-mapreduce-project",24,1,0,0,2,4,0,4,2
"72","hadoop-mapreduce-project",25,1,0,0,1,1,0,4,2
"73","hadoop-mapreduce-project",26,2,0,0,2,9,0,4,2
"74","hadoop-mapreduce-project",27,1,0,0,1,1,0,2,2
"75","hadoop-mapreduce-project",28,20,0,0,25,78,0,104,2
"76","hadoop-mapreduce-project",29,1,0,0,1,4,0,3,2
"77","hadoop-mapreduce-project",30,3,0,0,5,12,0,23,2
"78","hadoop-mapreduce-project",31,4,5,0,5,15,0,14,2
"79","hadoop-yarn-project",1,5,0,0,1,17,0,16,2
"80","hadoop-yarn-project",2,5,0,0,4,17,0,19,2
"81","hadoop-yarn-project",3,2,0,0,2,6,0,7,2
"82","hadoop-yarn-project",10,1,0,0,2,4,0,2,2
"83","hadoop-yarn-project",11,2,0,0,3,8,0,4,2
"84","hadoop-yarn-project",12,1,0,0,1,4,0,5,2
"85","hadoop-yarn-project",13,1,0,0,2,4,0,9,2
"86","hadoop-yarn-project",15,1,0,0,2,1,0,1,2
"87","hadoop-yarn-project",17,2,0,0,2,9,0,9,2
"88","hadoop-yarn-project",18,2,0,0,3,8,0,17,2
"89","hadoop-yarn-project",20,1,0,0,1,3,0,2,2
"90","hadoop-yarn-project",21,1,0,0,2,4,0,2,2
"91","hadoop-yarn-project",22,3,0,0,1,12,0,8,2
"92","hadoop-yarn-project",24,1,0,0,0,4,0,1,2
"93","hadoop-yarn-project",25,1,0,0,0,4,0,2,2
"94","hadoop-yarn-project",26,5,0,0,1,19,0,18,2
"95","hadoop-yarn-project",27,5,0,0,3,17,0,9,2
"96","hadoop-yarn-project",28,18,0,0,18,60,0,62,2
"97","hadoop-yarn-project",29,8,0,0,7,32,0,23,2
"98","hadoop-yarn-project",30,12,0,0,4,45,0,56,2
"99","hadoop-yarn-project",31,5,0,0,4,20,1,17,2
"100","hbase",1,3,23686,2,5,14,0,10,3
"101","hbase",2,2,43,0,4,9,0,10,2
"102","hbase",3,33,97,2,26,107,0,157,4
"103","hbase",4,0,29,0,0,0,0,0,2
"104","hbase",5,0,39,0,0,0,0,0,2
"105","hbase",6,0,21,0,0,0,0,0,2
"106","hbase",7,0,35,0,0,0,0,0,2
"107","hbase",8,0,25,0,0,0,0,0,2
"108","hbase",9,0,119,6,0,0,0,0,4
"109","hbase",10,0,21,0,0,0,0,0,2
"110","hbase",11,0,128,0,0,0,0,0,4
"111","hbase",12,0,31,0,0,0,0,0,2
"112","hbase",13,0,24,0,0,0,0,0,2
"113","hbase",14,0,44,6,0,0,0,0,2
"114","hbase",15,0,33,0,0,0,0,0,2
"115","hbase",16,11,239,2,21,44,0,35,4
"116","hbase",17,3,70,2,8,9,0,12,2
"117","hbase",18,4,65,0,20,16,0,12,2
"118","hbase",19,0,99,0,0,0,0,0,4
"119","hbase",20,9,55,3,11,33,0,27,2
"120","hbase",21,23,428,2,58,55,6,132,6
"121","hbase",22,22,63,0,59,64,0,100,4
"122","hbase",23,3,232,0,5,12,0,10,4
"123","hbase",24,13,40,0,26,43,0,37,2
"124","hbase",25,21,220,0,34,52,0,109,4
"125","hbase",26,8,1254,0,6,26,0,34,1
"126","hbase",27,3,14,0,4,10,0,6,2
"127","hbase",28,8,33,0,10,28,0,48,2
"128","hbase",29,11,17,0,24,25,0,56,2
"129","hbase",30,18,216,0,39,54,0,88,4
"130","hbase",31,18,118,0,30,40,0,66,4
"131","hive",1,28,3240,99,16,106,0,34,5
"132","hive",2,3,873,248,3,12,0,6,1
"133","hive",3,45,291,160,57,110,0,64,6
"134","hive",4,0,1161,364,0,0,0,0,1
"135","hive",5,0,605,91,0,0,0,0,6
"136","hive",6,0,309,247,0,0,0,0,6
"137","hive",7,0,1211,128,0,0,0,0,1
"138","hive",8,0,368,172,0,0,0,0,6
"139","hive",9,0,4704,538,0,0,0,0,5
"140","hive",10,0,54,136,0,0,0,0,2
"141","hive",11,0,250,250,0,0,0,0,6
"142","hive",12,0,310,303,0,0,0,0,6
"143","hive",13,0,535,95,0,0,0,0,6
"144","hive",14,0,70,120,0,0,0,0,2
"145","hive",15,0,497,334,0,0,0,0,6
"146","hive",16,0,761,404,0,0,0,0,1
