"","project","date","jira_count","svn_count","email_count","jira_type","jira_priority","votes","watches","cluster"
"1","team1",1,25,1973,939,2,4,0,107,8
"2","team1",2,2,450,642,0,4,0,10,7
"3","team1",3,0,598,710,0,0,0,0,7
"4","team1",4,0,392,549,0,0,0,0,7
"5","team1",5,0,445,546,0,0,0,0,7
"6","team1",6,0,436,978,0,0,0,0,5
"7","team1",7,0,1048,1086,0,0,0,0,8
"8","team1",8,0,373,616,0,0,0,0,7
"9","team1",9,0,366,879,0,0,0,0,5
"10","team1",10,5,432,693,2,4,0,5,7
"11","team1",11,4,499,850,1,4,0,8,5
"12","team1",12,3,540,553,2,5,0,5,7
"13","team1",13,5,546,615,3,1,0,10,7
"14","team1",14,6,420,689,1,3,0,12,7
"15","team1",15,7,300,871,1,4,0,42,5
"16","team1",16,6,416,781,1,4,0,12,5
"17","team1",17,5,534,776,0,4,0,15,5
"18","team1",18,10,625,552,1,3,0,40,7
"19","team1",19,0,444,635,0,0,0,0,7
"20","team1",20,7,340,493,2,4,0,13,7
"21","team1",21,5,283,811,1,4,0,10,5
"22","team1",22,3,243,436,1,1,0,9,7
"23","team1",23,28,363,476,5,5,0,95,7
"24","team1",24,20,419,579,1,4,0,116,7
"25","team1",25,3,1284,333,2,4,0,9,8
"26","team1",26,4,458,777,1,4,0,16,5
"27","team1",27,15,419,502,1,4,6,63,7
"28","team1",28,61,529,645,2,4,0,269,7
"29","team1",29,25,255,394,2,5,0,142,7
"30","team1",30,15,313,676,2,4,0,36,7
"31","team1",31,28,284,233,2,4,0,124,7
"32","team2",1,27,4499,635,2,4,0,220,2
"33","team2",2,0,866,909,0,0,0,0,8
"34","team2",3,33,1586,1015,2,4,0,68,8
"35","team2",4,0,415,585,0,0,0,0,7
"36","team2",5,0,709,868,0,0,0,0,5
"37","team2",6,0,976,1005,0,0,0,0,8
"38","team2",7,0,1000,1588,0,0,0,0,8
"39","team2",8,0,795,1070,0,0,0,0,5
"40","team2",9,0,784,1260,0,0,0,0,5
"41","team2",10,0,1209,622,0,0,0,0,8
"42","team2",11,0,1281,1553,0,0,0,0,8
"43","team2",12,0,1205,751,0,0,0,0,8
"44","team2",13,0,1072,771,0,0,0,0,8
"45","team2",14,4,709,779,1,5,0,12,7
"46","team2",15,9,703,875,1,4,0,16,5
"47","team2",16,30,980,1372,2,4,0,99,8
"48","team2",17,7,689,980,2,3,0,14,5
"49","team2",18,4,1059,777,1,4,0,9,8
"50","team2",19,0,616,646,0,0,0,0,7
"51","team2",20,0,461,623,0,0,0,0,7
"52","team2",21,17,731,804,2,4,0,31,7
"53","team2",22,0,624,655,0,0,0,0,7
"54","team2",23,24,475,629,2,4,0,31,7
"55","team2",24,6,534,563,3,4,0,9,7
"56","team2",25,5,466,815,1,4,0,20,5
"57","team2",26,18,631,900,3,4,0,55,5
"58","team2",27,16,792,694,1,5,0,46,7
"59","team2",28,40,716,686,2,4,5,178,7
"60","team2",29,6,883,397,2,4,0,24,7
"61","team2",30,34,624,751,2,5,0,123,7
"62","team2",31,31,272,310,3,4,0,209,7
"63","team3",1,7,4728,435,2,4,0,50,2
"64","team3",2,10,2009,454,4,4,0,51,8
"65","team3",3,4,445,536,2,4,0,20,7
"66","team3",4,2,4761,451,1,4,0,5,2
"67","team3",5,3,3478,285,1,4,0,12,2
"68","team3",6,1,545,288,2,3,0,2,7
"69","team3",7,5,780,613,2,4,0,11,7
"70","team3",8,2,311,444,1,4,0,7,7
"71","team3",9,3,340,275,3,4,0,7,7
