"","name","date","project","email_count","svn_count","watches","votes","jira_count","jira_type","jira_priority"
"181","cm_t1",23,"team1",14,3,6,0,1,1,5
"182","cm_t1",23,"team1",14,9,6,0,1,1,5
"183","cm_t1",23,"team1",14,10,6,0,1,1,5
"184","cm_t1",23,"team1",14,31,6,0,1,1,5
"185","cm_t1",23,"team1",14,9,6,0,1,1,5
"186","cm_t1",23,"team1",14,4,6,0,1,1,5
"187","cm_t1",23,"team1",14,5,6,0,1,1,5
"188","cm_t1",23,"team1",14,3,6,0,1,1,5
"189","cm_t1",23,"team1",14,9,6,0,1,1,5
"213","cm_t1",27,"team1",30,5,4,0,1,1,4
"214","cm_t1",27,"team1",30,49,4,0,1,1,4
"215","cm_t1",27,"team1",30,14,4,0,1,1,4
"216","cm_t1",27,"team1",30,7,4,0,1,1,4
"217","cm_t1",27,"team1",30,9,4,0,1,1,4
"218","cm_t1",27,"team1",30,11,4,0,1,1,4
"219","cm_t1",27,"team1",30,9,4,0,1,1,4
"220","cm_t1",27,"team1",30,5,4,0,1,1,4
"221","cm_t1",27,"team1",30,20,4,0,1,1,4
"245","cm_t1",31,"team1",14,5,9,0,1,1,2
"246","cm_t1",31,"team1",14,5,9,0,1,1,2
"247","cm_t1",31,"team1",14,16,9,0,1,1,2
"311","cm_t2",29,"team1",17,5,5,0,1,1,4
"312","cm_t2",29,"team1",17,3,5,0,1,1,4
"316","cm_t2",31,"team1",8,13,4,0,1,1,4
"317","cm_t2",31,"team1",8,4,4,0,1,1,4
"318","cm_t2",31,"team1",8,11,4,0,1,1,4
"360","cm_t3",28,"team1",31,4,3,0,1,0,4
"364","cm_t3",31,"team1",29,3,5,0,1,1,2
"451","cm_t4",24,"team1",21,15,6,0,1,1,4
"461","cm_t4",28,"team1",27,9,5,0,1,2,1
"462","cm_t4",28,"team1",27,3,5,0,1,2,1
"463","cm_t4",29,"team1",10,5,25,0,3,2,4
"464","cm_t4",29,"team1",10,3,25,0,3,2,4
"468","cm_t4",31,"team1",9,9,5,0,2,1,4
"469","cm_t4",31,"team1",9,22,5,0,2,1,4
"470","cm_t4",31,"team1",9,5,5,0,2,1,4
"471","cm_t4",31,"team1",9,9,5,0,2,1,4
"472","cm_t5",1,"team1",27,22,4,0,1,1,3
"473","cm_t5",1,"team1",27,15,4,0,1,1,3
"474","cm_t5",1,"team1",27,1533,4,0,1,1,3
"475","cm_t5",1,"team1",27,7,4,0,1,1,3
"476","cm_t5",1,"team1",27,6,4,0,1,1,3
"477","cm_t5",1,"team1",27,46,4,0,1,1,3
"542","cm_t5",15,"team1",25,12,6,0,1,1,4
"543","cm_t5",15,"team1",25,5,6,0,1,1,4
"544","cm_t5",15,"team1",25,9,6,0,1,1,4
"545","cm_t5",15,"team1",25,13,6,0,1,1,4
"546","cm_t5",15,"team1",25,9,6,0,1,1,4
"547","cm_t5",15,"team1",25,5,6,0,1,1,4
"548","cm_t5",15,"team1",25,5,6,0,1,1,4
"555","cm_t5",17,"team1",16,3,3,0,1,0,4
"556","cm_t5",17,"team1",16,5,3,0,1,0,4
"557","cm_t5",17,"team1",16,5,3,0,1,0,4
"558","cm_t5",17,"team1",16,5,3,0,1,0,4
"559","cm_t5",17,"team1",16,10,3,0,1,0,4
"560","cm_t5",18,"team1",8,7,4,0,1,1,3
"561","cm_t5",18,"team1",8,17,4,0,1,1,3
"562","cm_t5",18,"team1",8,7,4,0,1,1,3
"563","cm_t5",18,"team1",8,13,4,0,1,1,3
"564","cm_t5",18,"team1",8,23,4,0,1,1,3
"565","cm_t5",18,"team1",8,135,4,0,1,1,3
"566","cm_t5",18,"team1",8,10,4,0,1,1,3
"567","cm_t5",18,"team1",8,3,4,0,1,1,3
"568","cm_t5",18,"team1",8,11,4,0,1,1,3
"569","cm_t5",18,"team1",8,29,4,0,1,1,3
"575","cm_t5",21,"team1",19,4,2,0,1,1,4
"576","cm_t5",21,"team1",19,4,2,0,1,1,4
"577","cm_t5",21,"team1",19,28,2,0,1,1,4
"578","cm_t5",21,"team1",19,25,2,0,1,1,4
"579","cm_t5",21,"team1",19,7,2,0,1,1,4
"583","cm_t5",23,"team1",12,29,2,0,1,1,4
"584","cm_t5",23,"team1",12,5,2,0,1,1,4
"585","cm_t5",23,"team1",12,13,2,0,1,1,4
