"","project","date","jira_count","svn_count","email_count","jira_type","jira_priority","votes","watches","cluster"
"1","hadoop-common-project",1,22,1973,756,2,4,0,67,4
"2","hadoop-common-project",2,5,450,577,0,4,0,25,3
"3","hadoop-common-project",3,0,598,620,0,0,0,0,5
"4","hadoop-common-project",4,0,392,525,0,0,0,0,3
"5","hadoop-common-project",5,0,445,568,0,0,0,0,3
"6","hadoop-common-project",6,0,436,768,0,0,0,0,5
"7","hadoop-common-project",7,0,1048,786,0,0,0,0,4
"8","hadoop-common-project",8,0,373,580,0,0,0,0,3
"9","hadoop-common-project",9,0,366,703,0,0,0,0,5
"10","hadoop-common-project",10,5,432,610,2,4,0,5,5
"11","hadoop-common-project",11,5,499,648,1,4,0,10,5
"12","hadoop-common-project",12,9,540,477,2,5,0,15,3
"13","hadoop-common-project",13,3,546,509,3,1,0,6,3
"14","hadoop-common-project",14,8,420,570,1,3,0,16,3
"15","hadoop-common-project",15,2,300,756,1,4,0,12,5
"16","hadoop-common-project",16,3,416,749,1,4,0,6,5
"17","hadoop-common-project",17,5,534,653,0,4,0,15,5
"18","hadoop-common-project",18,5,625,629,1,3,0,20,5
"19","hadoop-common-project",19,0,444,497,0,0,0,0,3
"20","hadoop-common-project",20,7,340,312,2,4,0,10,3
"21","hadoop-common-project",21,3,283,682,1,4,0,6,5
"22","hadoop-common-project",22,1,243,433,1,1,0,3,3
"23","hadoop-common-project",23,22,363,394,5,5,0,63,3
"24","hadoop-common-project",24,13,419,542,1,4,0,70,3
"25","hadoop-common-project",25,7,1284,233,2,4,0,15,4
"26","hadoop-common-project",26,4,458,453,1,4,0,16,3
"27","hadoop-common-project",27,9,419,408,1,4,8,40,3
"28","hadoop-common-project",28,54,529,603,2,4,0,193,5
"29","hadoop-common-project",29,27,255,378,2,5,0,168,3
"30","hadoop-common-project",30,9,313,550,2,4,0,20,3
"31","hadoop-common-project",31,38,284,179,2,4,0,160,3
"32","hadoop-hdfs-project",1,24,4499,747,2,4,0,196,7
"33","hadoop-hdfs-project",2,0,866,779,0,0,0,0,5
"34","hadoop-hdfs-project",3,38,1586,1054,2,4,0,87,4
"35","hadoop-hdfs-project",4,0,415,677,0,0,0,0,5
"36","hadoop-hdfs-project",5,0,709,1007,0,0,0,0,5
"37","hadoop-hdfs-project",6,0,976,1008,0,0,0,0,4
"38","hadoop-hdfs-project",7,0,1000,1403,0,0,0,0,4
"39","hadoop-hdfs-project",8,0,795,1527,0,0,0,0,5
"40","hadoop-hdfs-project",9,0,784,1090,0,0,0,0,5
"41","hadoop-hdfs-project",10,0,1209,760,0,0,0,0,4
"42","hadoop-hdfs-project",11,0,1281,1448,0,0,0,0,4
"43","hadoop-hdfs-project",12,0,1205,1030,0,0,0,0,4
"44","hadoop-hdfs-project",13,0,1072,926,0,0,0,0,4
"45","hadoop-hdfs-project",14,12,709,958,1,5,0,36,5
"46","hadoop-hdfs-project",15,5,703,1065,1,4,0,7,5
"47","hadoop-hdfs-project",16,20,980,1535,2,4,0,74,4
"48","hadoop-hdfs-project",17,4,689,1158,2,3,0,8,5
"49","hadoop-hdfs-project",18,11,1059,1107,1,4,0,27,4
"50","hadoop-hdfs-project",19,0,616,830,0,0,0,0,5
"51","hadoop-hdfs-project",20,0,461,690,0,0,0,0,5
"52","hadoop-hdfs-project",21,11,731,1015,2,4,0,23,5
"53","hadoop-hdfs-project",22,0,624,882,0,0,0,0,5
"54","hadoop-hdfs-project",23,19,475,640,2,4,0,34,5
"55","hadoop-hdfs-project",24,6,534,607,3,4,0,9,5
"56","hadoop-hdfs-project",25,5,466,768,1,4,0,20,5
"57","hadoop-hdfs-project",26,12,631,692,3,4,0,43,5
"58","hadoop-hdfs-project",27,31,792,620,1,5,0,99,5
"59","hadoop-hdfs-project",28,44,716,849,2,4,2,221,5
"60","hadoop-hdfs-project",29,16,883,339,2,4,0,64,3
"61","hadoop-hdfs-project",30,37,624,833,2,5,0,164,5
"62","hadoop-hdfs-project",31,17,272,332,3,4,0,99,3
"63","hadoop-mapreduce-project",1,12,4728,407,2,4,0,36,7
"64","hadoop-mapreduce-project",2,14,2009,335,4,4,0,76,4
"65","hadoop-mapreduce-project",3,13,445,540,2,4,0,50,3
"66","hadoop-mapreduce-project",4,10,4761,365,1,4,0,25,7
"67","hadoop-mapreduce-project",5,24,3478,268,1,4,0,96,7
"68","hadoop-mapreduce-project",6,9,545,279,2,3,0,18,3
"69","hadoop-mapreduce-project",7,2,780,504,2,4,0,5,3
"70","hadoop-mapreduce-project",8,12,311,313,1,4,0,42,3
"71","hadoop-mapreduce-project",9,12,340,257,3,4,0,26,3
"72","hadoop-mapreduce-project",10,23,568,320,1,5,0,46,3
"73","hadoop-mapreduce-project",11,2,692,274,2,4,0,6,3
"74","hadoop-mapreduce-project",12,0,653,212,0,0,0,0,3
"75","hadoop-mapreduce-project",13,9,418,246,2,4,0,26,3
"76","hadoop-mapreduce-project",14,12,523,332,1,4,0,30,3
"77","hadoop-mapreduce-project",15,2,335,233,1,4,0,6,3
"78","hadoop-mapreduce-project",16,0,459,528,0,0,0,0,3
"79","hadoop-mapreduce-project",17,7,712,287,2,4,0,27,3
"80","hadoop-mapreduce-project",18,2,530,356,1,4,0,13,3
"81","hadoop-mapreduce-project",19,12,1880,310,1,4,0,36,4
"82","hadoop-mapreduce-project",20,6,367,271,5,4,0,12,3
"83","hadoop-mapreduce-project",21,13,398,240,3,4,0,36,3
"84","hadoop-mapreduce-project",22,10,231,173,2,4,0,29,3
"85","hadoop-mapreduce-project",23,9,252,219,2,4,0,20,3
"86","hadoop-mapreduce-project",24,7,579,197,2,4,0,28,3
"87","hadoop-mapreduce-project",25,5,388,286,1,1,0,20,3
"88","hadoop-mapreduce-project",26,7,507,406,1,5,0,9,3
"89","hadoop-mapreduce-project",27,5,394,304,1,1,0,10,3
"90","hadoop-mapreduce-project",28,38,540,251,3,5,0,160,3
"91","hadoop-mapreduce-project",29,6,533,215,1,4,0,18,3
"92","hadoop-mapreduce-project",30,5,316,216,2,4,0,33,3
"93","hadoop-mapreduce-project",31,7,431,138,2,4,0,23,3
"94","hadoop-yarn-project",1,8,365,453,1,4,0,28,3
"95","hadoop-yarn-project",2,5,421,331,3,4,0,19,3
"96","hadoop-yarn-project",3,2,418,429,1,4,0,7,3
"97","hadoop-yarn-project",4,0,1005,477,0,0,0,0,4
"98","hadoop-yarn-project",5,0,698,379,0,0,0,0,3
"99","hadoop-yarn-project",6,0,175,385,0,0,0,0,3
"100","hadoop-yarn-project",7,0,757,466,0,0,0,0,3
"101","hadoop-yarn-project",8,0,336,370,0,0,0,0,3
"102","hadoop-yarn-project",9,0,678,405,0,0,0,0,3
"103","hadoop-yarn-project",10,2,547,483,2,4,0,4,3
"104","hadoop-yarn-project",11,3,421,306,2,4,0,5,3
"105","hadoop-yarn-project",12,3,338,392,1,4,0,15,3
"106","hadoop-yarn-project",13,1,462,315,2,4,0,9,3
"107","hadoop-yarn-project",14,0,721,500,0,0,0,0,3
"108","hadoop-yarn-project",15,1,687,382,2,1,0,1,3
"109","hadoop-yarn-project",16,0,360,490,0,0,0,0,3
"110","hadoop-yarn-project",17,2,1690,417,1,5,0,9,4
"111","hadoop-yarn-project",18,3,1265,388,2,4,0,30,4
"112","hadoop-yarn-project",19,0,722,468,0,0,0,0,3
"113","hadoop-yarn-project",20,1,286,272,1,3,0,2,3
"114","hadoop-yarn-project",21,3,418,460,2,4,0,6,3
"115","hadoop-yarn-project",22,3,236,265,1,4,0,8,3
"116","hadoop-yarn-project",23,0,327,350,0,0,0,0,3
"117","hadoop-yarn-project",24,1,765,315,0,4,0,1,3
"118","hadoop-yarn-project",25,1,547,345,0,4,0,2,3
"119","hadoop-yarn-project",26,5,1112,442,1,4,0,18,4
"120","hadoop-yarn-project",27,8,236,293,2,4,0,15,3
"121","hadoop-yarn-project",28,22,235,409,4,5,0,86,3
"122","hadoop-yarn-project",29,20,414,366,1,5,0,50,3
"123","hadoop-yarn-project",30,21,494,467,1,5,0,111,3
"124","hadoop-yarn-project",31,9,442,312,1,4,1,31,3
"125","hbase",1,12,24783,2445,3,5,0,42,9
"126","hbase",2,4,520,3758,3,5,0,20,6
"127","hbase",3,58,762,3278,1,5,0,277,6
"128","hbase",4,0,576,4239,0,0,0,0,6
"129","hbase",5,0,1288,3714,0,0,0,0,6
"130","hbase",6,0,538,3849,0,0,0,0,6
"131","hbase",7,0,863,3173,0,0,0,0,6
"132","hbase",8,0,731,3750,0,0,0,0,6
"133","hbase",9,0,744,6033,0,0,0,0,2
"134","hbase",10,0,661,4160,0,0,0,0,6
"135","hbase",11,0,964,4590,0,0,0,0,6
"136","hbase",12,0,615,3237,0,0,0,0,6
"137","hbase",13,0,686,3438,0,0,0,0,6
"138","hbase",14,0,683,3618,0,0,0,0,6
"139","hbase",15,0,788,4497,0,0,0,0,6
"140","hbase",16,41,574,4129,5,4,0,145,6
"141","hbase",17,13,639,4390,5,4,0,52,6
"142","hbase",18,5,730,4034,5,4,0,15,6
"143","hbase",19,0,2944,5127,0,0,0,0,2
"144","hbase",20,39,670,3932,2,5,0,101,6
"145","hbase",21,43,1098,2770,4,5,7,287,6
"146","hbase",22,61,714,3722,5,4,0,288,6
"147","hbase",23,8,719,4010,3,4,0,5,6
"148","hbase",24,42,713,3695,3,4,0,124,6
"149","hbase",25,103,596,3757,3,5,0,549,6
"150","hbase",26,32,3458,3885,1,4,0,136,6
"151","hbase",27,14,1003,3379,4,4,0,17,6
"152","hbase",28,41,617,3030,2,4,0,184,6
"153","hbase",29,62,599,2903,4,4,0,333,6
"154","hbase",30,31,986,2668,5,4,0,139,6
"155","hbase",31,17,600,1127,4,4,0,61,5
"156","hive",1,59,9919,6436,2,4,0,95,1
"157","hive",2,5,723,5131,1,4,0,10,2
"158","hive",3,91,29812,8493,4,4,0,185,9
"159","hive",4,0,10151,10373,0,0,0,0,1
"160","hive",5,0,2465,6516,0,0,0,0,2
"161","hive",6,0,1120,10219,0,0,0,0,8
"162","hive",7,0,1555,8172,0,0,0,0,8
"163","hive",8,0,841,5975,0,0,0,0,2
"164","hive",9,0,1975,9447,0,0,0,0,8
"165","hive",10,0,1377,6138,0,0,0,0,2
"166","hive",11,0,325,5199,0,0,0,0,2
"167","hive",12,0,1674,4298,0,0,0,0,6
"168","hive",13,0,949,7155,0,0,0,0,8
"169","hive",14,0,394,5592,0,0,0,0,2
"170","hive",15,0,774,5844,0,0,0,0,2
"171","hive",16,0,602,8175,0,0,0,0,8
"172","hive",17,0,742,7278,0,0,0,0,8
"173","hive",18,0,617,5745,0,0,0,0,2
"174","hive",19,0,824,6749,0,0,0,0,2
"175","hive",20,0,705,7496,0,0,0,0,8
"176","hive",21,0,832,6088,0,0,0,0,2
"177","hive",22,3,648,3758,2,4,0,3,6
"178","hive",23,19,493,4649,2,4,0,19,6
"179","hive",24,9,616,4048,2,5,0,12,6
