"","name","date","project","email_count","svn_count","watches","votes","jira_count","jira_type","jira_priority"
"1237","cm_t1",23,"team1",6,31,6,0,1,1,5
"1238","cm_t1",23,"team1",2,9,6,0,1,1,5
"1239","cm_t1",23,"team1",2,10,6,0,1,1,5
"1240","cm_t1",23,"team1",2,5,6,0,1,1,5
"1241","cm_t1",23,"team1",2,9,6,0,1,1,5
"1242","cm_t1",23,"team1",2,5,6,0,1,1,5
"1243","cm_t1",23,"team1",2,3,6,0,1,1,5
"1244","cm_t1",23,"team1",6,9,6,0,1,1,5
"1245","cm_t1",23,"team1",2,4,6,0,1,1,5
"1246","cm_t1",23,"team1",2,10,6,0,1,1,5
"1247","cm_t1",23,"team1",2,9,6,0,1,1,5
"1248","cm_t1",23,"team1",2,9,6,0,1,1,5
"1249","cm_t1",23,"team1",2,31,6,0,1,1,5
"1250","cm_t1",23,"team1",2,9,6,0,1,1,5
"1251","cm_t1",23,"team1",6,10,6,0,1,1,5
"1252","cm_t1",23,"team1",2,31,6,0,1,1,5
"1253","cm_t1",23,"team1",2,3,6,0,1,1,5
"1254","cm_t1",23,"team1",2,3,6,0,1,1,5
"1255","cm_t1",23,"team1",2,9,6,0,1,1,5
"1256","cm_t1",23,"team1",2,3,6,0,1,1,5
"1257","cm_t1",23,"team1",2,9,6,0,1,1,5
"1258","cm_t1",23,"team1",2,4,6,0,1,1,5
"1259","cm_t1",23,"team1",6,9,6,0,1,1,5
"1260","cm_t1",23,"team1",2,31,6,0,1,1,5
"1261","cm_t1",23,"team1",2,3,6,0,1,1,5
"1262","cm_t1",23,"team1",2,5,6,0,1,1,5
"1263","cm_t1",23,"team1",2,9,6,0,1,1,5
"1264","cm_t1",23,"team1",2,4,6,0,1,1,5
"1265","cm_t1",23,"team1",2,10,6,0,1,1,5
"1266","cm_t1",23,"team1",6,3,6,0,1,1,5
"1267","cm_t1",23,"team1",2,9,6,0,1,1,5
"1268","cm_t1",23,"team1",2,4,6,0,1,1,5
"1269","cm_t1",23,"team1",2,10,6,0,1,1,5
"1270","cm_t1",23,"team1",2,31,6,0,1,1,5
"1271","cm_t1",23,"team1",6,9,6,0,1,1,5
"1272","cm_t1",23,"team1",2,9,6,0,1,1,5
"1273","cm_t1",23,"team1",2,3,6,0,1,1,5
"1274","cm_t1",23,"team1",2,5,6,0,1,1,5
"1275","cm_t1",23,"team1",2,9,6,0,1,1,5
"1276","cm_t1",23,"team1",2,3,6,0,1,1,5
"1277","cm_t1",23,"team1",2,9,6,0,1,1,5
